MIASTO;Region;KOD;KIER;ULICA;P_OD;P_DO;N_OD;N_DO;POD;NOD
ALEKSANDROWO;MAZOWIECKIE;06-446;023;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-462;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;97-146;046;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-540;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;26-811;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-504;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-621;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;08-450;025;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;26-910;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;97-171;046;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;27-351;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-652;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-126;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;96-514;046;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-250;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-533;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;96-521;046;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;27-322;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;08-404;025;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;26-630;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;26-511;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-610;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-530;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-156;022;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;05-306;025;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;09-505;024;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;96-317;042;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;27-352;048;;;;;;     0 ;     0 
ALEKSANDR”W;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
ALEKSANDR”W KARCZMA;MAZOWIECKIE;96-317;042;;;;;;     0 ;     0 
ALEKSANDR”W NOWY;MAZOWIECKIE;05-652;048;;;;;;     0 ;     0 
ALEKSANDR”W NOWY;MAZOWIECKIE;05-250;022;;;;;;     0 ;     0 
ALEKSANDR”WEK;MAZOWIECKIE;05-180;022;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;07-108;025;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;26-900;048;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;05-621;048;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;26-907;048;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;05-320;025;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;05-500;022;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;08-207;057;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;06-400;023;;;;;;     0 ;     0 
ALEKSANDR”WKA;MAZOWIECKIE;05-311;025;;;;;;     0 ;     0 
ALEKSANDRYN”W;MAZOWIECKIE;09-500;024;;;;;;     0 ;     0 
ALEKSEWO;MAZOWIECKIE;09-452;024;;;;;;     0 ;     0 
ALFONSOWO;MAZOWIECKIE;05-604;048;;;;;;     0 ;     0 
ALFONS”W;MAZOWIECKIE;09-532;024;;;;;;     0 ;     0 
ALOJZ”W;MAZOWIECKIE;27-103;048;;;;;;     0 ;     0 
ALTANKA;MAZOWIECKIE;96-500;046;;;;;;     0 ;     0 
ALTANKA KOLONIA;MAZOWIECKIE;96-500;046;;;;;;     0 ;     0 
AMALIA;MAZOWIECKIE;06-456;023;;;;;;     0 ;     0 
AMELIA;MAZOWIECKIE;06-456;023;;;;;;     0 ;     0 
AMELIN;MAZOWIECKIE;06-215;023;;;;;;     0 ;     0 
AMIELNIK;MAZOWIECKIE;06-543;023;;;;;;     0 ;     0 
ANAJEWO;MAZOWIECKIE;09-500;024;;;;;;     0 ;     0 
ANASTAZEW;MAZOWIECKIE;07-230;029;;;;;;     0 ;     0 
ANATOLIN;MAZOWIECKIE;09-541;024;;;;;;     0 ;     0 
ANDRZEJEW DURANOWSKI;MAZOWIECKIE;96-500;046;;;;;;     0 ;     0 
ANDRZEJEWO;MAZOWIECKIE;07-305;029;;;;;;     0 ;     0 
ANDRZEJEWO;MAZOWIECKIE;09-500;024;;;;;;     0 ;     0 
ANDRZEJEWO K CZYØEWA;MAZOWIECKIE;07-305;029;;;;;;     0 ;     0 
ANDRZEJKI;MAZOWIECKIE;07-406;029;;;;;;     0 ;     0 
ANDRZEJ”W;MAZOWIECKIE;07-200;029;;;;;;     0 ;     0 
ANDRZEJ”W;MAZOWIECKIE;26-704;048;;;;;;     0 ;     0 
ANDRZEJ”W;MAZOWIECKIE;26-813;048;;;;;;     0 ;     0 
ANDRZEJ”W;MAZOWIECKIE;05-660;048;;;;;;     0 ;     0 
ANDRZEJ”W;MAZOWIECKIE;09-550;024;;;;;;     0 ;     0 
ANDRZEJ”W DURANOWSKI;MAZOWIECKIE;96-500;046;;;;;;     0 ;     0 
ANDRZEJ”WKA;MAZOWIECKIE;26-907;048;;;;;;     0 ;     0 
ANDRZEJ”WKA;MAZOWIECKIE;05-332;025;;;;;;     0 ;     0 
ANDRZEJ”WKA DUØA;MAZOWIECKIE;08-441;025;;;;;;     0 ;     0 
ANDRZEJ”WKA MA£A;MAZOWIECKIE;08-441;025;;;;;;     0 ;     0 
ANDZIN;MAZOWIECKIE;09-132;023;;;;;;     0 ;     0 
ANIELEW;MAZOWIECKIE;05-300;025;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;05-480;022;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;05-652;048;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;05-500;022;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;09-120;023;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;09-551;024;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;26-914;048;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;26-640;048;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;05-622;048;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;06-420;023;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;05-306;025;;;;;;     0 ;     0 
ANIELIN;MAZOWIECKIE;26-703;048;;;;;;     0 ;     0 
ANIELIN G”RNY;MAZOWIECKIE;26-914;048;;;;;;     0 ;     0 
ANIELIN K PA;MAZOWIECKIE;26-914;048;;;;;;     0 ;     0 
ANIELIN ROZNISZEWSKI;MAZOWIECKIE;26-914;048;;;;;;     0 ;     0 
ANIELINEK;MAZOWIECKIE;05-340;025;;;;;;     0 ;     0 
ANIELINEK;MAZOWIECKIE;05-306;025;;;;;;     0 ;     0 
ANIEL”W;MAZOWIECKIE;08-405;025;;;;;;     0 ;     0 
ANIEL”WKA;MAZOWIECKIE;26-930;048;;;;;;     0 ;     0 
ANIN;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
ANISZEWKO;MAZOWIECKIE;09-104;023;;;;;;     0 ;     0 
ANNOPOL;MAZOWIECKIE;05-462;022;;;;;;     0 ;     0 
ANNOPOL;MAZOWIECKIE;05-621;048;;;;;;     0 ;     0 
ANNOPOL;MAZOWIECKIE;08-442;025;;;;;;     0 ;     0 
ANNOPOL;MAZOWIECKIE;07-150;025;;;;;;     0 ;     0 
ANNOPOL;MAZOWIECKIE;06-311;023;;;;;;     0 ;     0 
ANNOPOL;MAZOWIECKIE;09-550;024;;;;;;     0 ;     0 
ANNOPOL;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
ANNOPOLW;MAZOWIECKIE;09-550;024;;;;;;     0 ;     0 
ANNOWO;MAZOWIECKIE;06-332;023;;;;;;     0 ;     0 
ANN”W;MAZOWIECKIE;26-907;048;;;;;;     0 ;     0 
ANTION”W;MAZOWIECKIE;05-663;048;;;;;;     0 ;     0 
ANTOLEK;MAZOWIECKIE;05-230;022;;;;;;     0 ;     0 
ANTOLIN;MAZOWIECKIE;97-145;046;;;;;;     0 ;     0 
ANTOLIN BARAKI;MAZOWIECKIE;97-170;046;;;;;;     0 ;     0 
ANTONIA;MAZOWIECKIE;07-438;029;;;;;;     0 ;     0 
ANTONIE;MAZOWIECKIE;07-400;029;;;;;;     0 ;     0 
ANTONIEW;MAZOWIECKIE;96-318;042;;;;;;     0 ;     0 
ANTONIEW;MAZOWIECKIE;96-514;046;;;;;;     0 ;     0 
ANTONIEW;MAZOWIECKIE;96-500;046;;;;;;     0 ;     0 
ANTONIEW;MAZOWIECKIE;08-406;025;;;;;;     0 ;     0 
ANTONIEWO;MAZOWIECKIE;07-300;029;;;;;;     0 ;     0 
ANTONIEWO;MAZOWIECKIE;09-135;023;;;;;;     0 ;     0 
ANTONIEWO;MAZOWIECKIE;09-206;024;;;;;;     0 ;     0 
ANTONIEWO;MAZOWIECKIE;09-213;024;;;;;;     0 ;     0 
ANTONIEWO KORZE—;MAZOWIECKIE;06-456;023;;;;;;     0 ;     0 
ANTONIN;MAZOWIECKIE;05-663;048;;;;;;     0 ;     0 
ANTONIN;MAZOWIECKIE;08-404;025;;;;;;     0 ;     0 
ANTONIN;MAZOWIECKIE;05-306;025;;;;;;     0 ;     0 
ANTONIN;MAZOWIECKIE;05-600;048;;;;;;     0 ;     0 
ANTONINA;MAZOWIECKIE;05-306;025;;;;;;     0 ;     0 
ANTONINA;MAZOWIECKIE;05-307;025;;;;;;     0 ;     0 
ANTONINEK;MAZOWIECKIE;05-340;025;;;;;;     0 ;     0 
ANTONIN”W;MAZOWIECKIE;09-520;024;;;;;;     0 ;     0 
ANTONIN”W;MAZOWIECKIE;09-504;024;;;;;;     0 ;     0 
ANTONIN”W;MAZOWIECKIE;05-503;022;;;;;;     0 ;     0 
ANTONIN”W;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
ANTONI”W;MAZOWIECKIE;26-640;048;;;;;;     0 ;     0 
ANTONI”W;MAZOWIECKIE;27-323;048;;;;;;     0 ;     0 
ANTONI”W;MAZOWIECKIE;26-660;048;;;;;;     0 ;     0 
ANTONI”W;MAZOWIECKIE;26-511;048;;;;;;     0 ;     0 
ANTONI”W;MAZOWIECKIE;26-434;048;;;;;;     0 ;     0 
ANTONI”W DUØY;MAZOWIECKIE;27-351;048;;;;;;     0 ;     0 
ANTONI”W MA£Y;MAZOWIECKIE;27-351;048;;;;;;     0 ;     0 
ANTONI”WEK;MAZOWIECKIE;26-904;048;;;;;;     0 ;     0 
ANTONI”WKA;MAZOWIECKIE;26-907;048;;;;;;     0 ;     0 
ANTONI”WKA;MAZOWIECKIE;05-663;048;;;;;;     0 ;     0 
ANTONI”WKA;MAZOWIECKIE;08-322;025;;;;;;     0 ;     0 
ANTONI”WKA;MAZOWIECKIE;26-630;048;;;;;;     0 ;     0 
ANTONI”WKA DWORSKA;MAZOWIECKIE;08-480;025;;;;;;     0 ;     0 
ANTONI”WKA åWIERZOWSKA;MAZOWIECKIE;08-480;025;;;;;;     0 ;     0 
ANTONI”WKA WILCZKOWSKA;MAZOWIECKIE;08-480;025;;;;;;     0 ;     0 
ANTONOWO OSADA;MAZOWIECKIE;07-306;029;;;;;;     0 ;     0 
ANTON”WKA;MAZOWIECKIE;08-430;025;;;;;;     0 ;     0 
ANTON”WKA;MAZOWIECKIE;05-663;048;;;;;;     0 ;     0 
ANTON”WKA;MAZOWIECKIE;05-660;048;;;;;;     0 ;     0 
ANTOSIN;MAZOWIECKIE;96-522;046;;;;;;     0 ;     0 
ANT”N”WKA;MAZOWIECKIE;07-230;029;;;;;;     0 ;     0 
ANULIN;MAZOWIECKIE;09-513;024;;;;;;     0 ;     0 
ANUSIN;MAZOWIECKIE;05-510;022;;;;;;     0 ;     0 
ANUSIN;MAZOWIECKIE;27-300;048;;;;;;     0 ;     0 
ANUSINEK;MAZOWIECKIE;05-126;022;;;;;;     0 ;     0 
ARCELIN;MAZOWIECKIE;09-100;023;;;;;;     0 ;     0 
ARCHUTOWO;MAZOWIECKIE;09-470;024;;;;;;     0 ;     0 
ARCHUT”WKO;MAZOWIECKIE;09-470;024;;;;;;     0 ;     0 
ARCIECH”W;MAZOWIECKIE;05-255;022;;;;;;     0 ;     0 
ARCIECH”W;MAZOWIECKIE;09-535;024;;;;;;     0 ;     0 
ARCIECH”WEK;MAZOWIECKIE;09-535;024;;;;;;     0 ;     0 
ARCISZEWO;MAZOWIECKIE;09-460;024;;;;;;     0 ;     0 
ARCISZEWO NOWE;MAZOWIECKIE;09-460;024;;;;;;     0 ;     0 
ARCISZEWO PARCELE;MAZOWIECKIE;09-460;024;;;;;;     0 ;     0 
ARYN”W;MAZOWIECKIE;05-300;025;;;;;;     0 ;     0 
ATALIN;MAZOWIECKIE;26-700;048;;;;;;     0 ;     0 
AUGUSTOWO;MAZOWIECKIE;06-445;023;;;;;;     0 ;     0 
AUGUSTOWO;MAZOWIECKIE;07-210;029;;;;;;     0 ;     0 
AUGUST”W;MAZOWIECKIE;26-624;048;;;;;;     0 ;     0 
AUGUST”W;MAZOWIECKIE;06-408;023;;;;;;     0 ;     0 
AUGUST”W;MAZOWIECKIE;26-670;048;;;;;;     0 ;     0 
AUGUST”W;MAZOWIECKIE;26-610;048;;;;;;     0 ;     0 
AUGUST”W;MAZOWIECKIE;05-305;025;;;;;;     0 ;     0 
AUGUST”W;MAZOWIECKIE;26-815;048;;;;;;     0 ;     0 
AUGUST”W;MAZOWIECKIE;26-410;048;;;;;;     0 ;     0 
AUGUST”WEK;MAZOWIECKIE;05-305;025;;;;;;     0 ;     0 
AUGUST”WEK;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
AUGUST”WKA;MAZOWIECKIE;05-310;025;;;;;;     0 ;     0 
AUGUST”WKA;MAZOWIECKIE;08-440;025;;;;;;     0 ;     0 
AUGUST”WKA;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
BABA;MAZOWIECKIE;07-436;029;;;;;;     0 ;     0 
BABIA G”RA;MAZOWIECKIE;26-625;048;;;;;;     0 ;     0 
BABIA G”RA;MAZOWIECKIE;26-414;048;;;;;;     0 ;     0 
BABICE;MAZOWIECKIE;08-455;025;;;;;;     0 ;     0 
BABICE;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
BABIEC;MAZOWIECKIE;96-512;046;;;;;;     0 ;     0 
BABIEC K PA;MAZOWIECKIE;09-200;024;;;;;;     0 ;     0 
BABIEC PIASECZNY;MAZOWIECKIE;09-200;024;;;;;;     0 ;     0 
BABIEC RØA£Y;MAZOWIECKIE;09-204;024;;;;;;     0 ;     0 
BABIEC TROSKA;MAZOWIECKIE;09-200;024;;;;;;     0 ;     0 
BABIEC WIENCZANKI;MAZOWIECKIE;09-200;024;;;;;;     0 ;     0 
BABIEC WRZOSY;MAZOWIECKIE;09-200;024;;;;;;     0 ;     0 
BABILON;MAZOWIECKIE;27-300;048;;;;;;     0 ;     0 
BABIN;MAZOWIECKIE;26-703;048;;;;;;     0 ;     0 
BABIN NOWY;MAZOWIECKIE;26-703;048;;;;;;     0 ;     0 
BABOSZEWO;MAZOWIECKIE;09-130;023;;;;;;     0 ;     0 
BABSKI BOREK;MAZOWIECKIE;96-317;042;;;;;;     0 ;     0 
BABSKIE BUDY;MAZOWIECKIE;96-317;042;;;;;;     0 ;     0 
BABUSIN;MAZOWIECKIE;06-123;023;;;;;;     0 ;     0 
BABY;MAZOWIECKIE;07-322;029;;;;;;     0 ;     0 
BABY G”RNE;MAZOWIECKIE;09-514;024;;;;;;     0 ;     0 
BACHORZA;MAZOWIECKIE;08-300;025;;;;;;     0 ;     0 
BACHORZE;MAZOWIECKIE;08-206;057;;;;;;     0 ;     0 
BACZE;MAZOWIECKIE;06-406;023;;;;;;     0 ;     0 
BACZKI;MAZOWIECKIE;07-131;025;;;;;;     0 ;     0 
BACZKI;MAZOWIECKIE;08-307;025;;;;;;     0 ;     0 
BACZKI NOWE;MAZOWIECKIE;07-131;025;;;;;;     0 ;     0 
BACZKI STARE;MAZOWIECKIE;07-131;025;;;;;;     0 ;     0 
BADOWO DA—KI;MAZOWIECKIE;96-320;042;;;;;;     0 ;     0 
BADOWO K£ODY;MAZOWIECKIE;96-322;042;;;;;;     0 ;     0 
BADOWO MåCISKA;MAZOWIECKIE;96-320;042;;;;;;     0 ;     0 
BADOWSZCZYZNA;MAZOWIECKIE;26-920;048;;;;;;     0 ;     0 
BAD”W G”RNY;MAZOWIECKIE;96-322;042;;;;;;     0 ;     0 
BADU£KI KOLONIA;MAZOWIECKIE;26-425;048;;;;;;     0 ;     0 
BADURKI;MAZOWIECKIE;09-452;024;;;;;;     0 ;     0 
BAGATELE;MAZOWIECKIE;07-311;029;;;;;;     0 ;     0 
BAGIENICE;MAZOWIECKIE;06-212;023;;;;;;     0 ;     0 
BAGIENICE DUØE;MAZOWIECKIE;09-312;023;;;;;;     0 ;     0 
BAGIENICE MA£E;MAZOWIECKIE;09-312;023;;;;;;     0 ;     0 
BAGIENICE NOWE;MAZOWIECKIE;09-312;023;;;;;;     0 ;     0 
BAGIENICE PAG”RKI;MAZOWIECKIE;06-215;023;;;;;;     0 ;     0 
BAGIENICE SZLACHECKIE;MAZOWIECKIE;06-215;023;;;;;;     0 ;     0 
BAGIENICE WIELKIE;MAZOWIECKIE;06-330;023;;;;;;     0 ;     0 
BAGIENICE W£OåCIA—SKIE;MAZOWIECKIE;06-215;023;;;;;;     0 ;     0 
BAGIENKI;MAZOWIECKIE;06-560;023;;;;;;     0 ;     0 
BAGIENKO;MAZOWIECKIE;07-211;029;;;;;;     0 ;     0 
BAGNA;MAZOWIECKIE;26-902;048;;;;;;     0 ;     0 
BAGNO;MAZOWIECKIE;07-100;025;;;;;;     0 ;     0 
BAGNO;MAZOWIECKIE;08-305;025;;;;;;     0 ;     0 
BAGNO;MAZOWIECKIE;05-110;022;;;;;;     0 ;     0 
BAGNO RAJSZEWSKIE;MAZOWIECKIE;05-110;022;;;;;;     0 ;     0 
BAJDEK;MAZOWIECKIE;07-106;025;;;;;;     0 ;     0 
BAKIERY;MAZOWIECKIE;08-503;025;;;;;;     0 ;     0 
BAKIERY GA£USZOWSKIE;MAZOWIECKIE;08-503;025;;;;;;     0 ;     0 
BAKU£A;MAZOWIECKIE;06-300;029;;;;;;     0 ;     0 
BAKU£A;MAZOWIECKIE;06-326;023;;;;;;     0 ;     0 
BAKUTA;MAZOWIECKIE;06-326;023;;;;;;     0 ;     0 
BALCERY;MAZOWIECKIE;05-240;022;;;;;;     0 ;     0 
BALE;MAZOWIECKIE;08-124;025;;;;;;     0 ;     0 
BALE;MAZOWIECKIE;07-160;025;;;;;;     0 ;     0 
BALTAZAR”W;MAZOWIECKIE;05-307;025;;;;;;     0 ;     0 
BA£KI;MAZOWIECKIE;08-307;025;;;;;;     0 ;     0 
BANACHOWIZNA;MAZOWIECKIE;05-200;022;;;;;;     0 ;     0 
BANDYSIE;MAZOWIECKIE;07-431;029;;;;;;     0 ;     0 
BANIOCHA;MAZOWIECKIE;05-532;022;;;;;;     0 ;     0 
BANKOWA PR”BA;MAZOWIECKIE;07-230;029;;;;;;     0 ;     0 
BARAK;MAZOWIECKIE;26-500;048;;;;;;     0 ;     0 
BARAKI;MAZOWIECKIE;09-110;023;;;;;;     0 ;     0 
BARAKI;MAZOWIECKIE;06-453;023;;;;;;     0 ;     0 
BARAKI;MAZOWIECKIE;26-706;048;;;;;;     0 ;     0 
BARAKI CHOTUM;MAZOWIECKIE;06-453;023;;;;;;     0 ;     0 
BARAKI DROGISKIE;MAZOWIECKIE;09-311;023;;;;;;     0 ;     0 
BARAKI GOåCISKIE;MAZOWIECKIE;09-311;023;;;;;;     0 ;     0 
BARANEK;MAZOWIECKIE;08-112;025;;;;;;     0 ;     0 
BARANOWO;MAZOWIECKIE;06-320;023;;;;;;     0 ;     0 
BARAN”W;MAZOWIECKIE;96-314;042;;;;;;     0 ;     0 
BARAN”W;MAZOWIECKIE;96-314;042;;;;;;     0 ;     0 
BARAN”W;MAZOWIECKIE;27-312;048;;;;;;     0 ;     0 
BARAN”W K GRODZISKA MAZOWIECKIEGO;MAZOWIECKIE;96-314;042;;;;;;     0 ;     0 
BARA—CE;MAZOWIECKIE;06-404;023;;;;;;     0 ;     0 
BARBARYNA;MAZOWIECKIE;08-140;025;;;;;;     0 ;     0 
BARCH”W;MAZOWIECKIE;07-130;025;;;;;;     0 ;     0 
BARCICE;MAZOWIECKIE;07-203;029;;;;;;     0 ;     0 
BARCICE;MAZOWIECKIE;05-650;048;;;;;;     0 ;     0 
BARCICE;MAZOWIECKIE;05-651;048;;;;;;     0 ;     0 
BARCIK;MAZOWIECKIE;09-540;024;;;;;;     0 ;     0 
BARCIKOWO;MAZOWIECKIE;09-471;024;;;;;;     0 ;     0 
BARCZ•CA;MAZOWIECKIE;05-300;025;;;;;;     0 ;     0 
BARDONKI;MAZOWIECKIE;06-400;023;;;;;;     0 ;     0 
BARDONY MIESZKI;MAZOWIECKIE;06-400;023;;;;;;     0 ;     0 
BARDYCHOWO;MAZOWIECKIE;07-304;029;;;;;;     0 ;     0 
BARDZICE;MAZOWIECKIE;26-643;048;;;;;;     0 ;     0 
BARG£”WEK;MAZOWIECKIE;05-086;022;;;;;;     0 ;     0 
BARG”W KWIATK”W;MAZOWIECKIE;05-086;022;;;;;;     0 ;     0 
BARTKI MOCARZE;MAZOWIECKIE;05-830;022;;;;;;     0 ;     0 
BARTK”W NOWY;MAZOWIECKIE;08-108;025;;;;;;     0 ;     0 
BARTK”W STARY;MAZOWIECKIE;08-108;025;;;;;;     0 ;     0 
BARTNIKI;MAZOWIECKIE;06-300;029;;;;;;     0 ;     0 
BARTNIKI CEGIELNIA;MAZOWIECKIE;06-300;029;;;;;;     0 ;     0 
BARTODZIEJE;MAZOWIECKIE;07-216;029;;;;;;     0 ;     0 
