MIASTO;Region;KOD POCZTOWY;NR_KIER;ULICA;PARZYSTE_OD;PARZYSTE_DO;NIEPARZYSTE_OD;NIEPARZYSTE_DO;POD;NOD
BIA£Y £UG;DOLNOåL•SKIE;57-140;071;;;;;;     0 ;     0 
BIECH”W;DOLNOåL•SKIE;67-200;076;;;;;;     0 ;     0 
BIEDASZKOWO;DOLNOåL•SKIE;55-056;071;;;;;;     0 ;     0 
BIEDASZK”W MA£Y;DOLNOåL•SKIE;55-112;071;;;;;;     0 ;     0 
BIEDASZK”W WIELKI;DOLNOåL•SKIE;55-112;071;;;;;;     0 ;     0 
BIEDRZYCHOWA;DOLNOåL•SKIE;59-320;076;;;;;;     0 ;     0 
BIEDRZYCHOWICE;DOLNOåL•SKIE;59-811;075;;;;;;     0 ;     0 
BIEDRZYCHOWICE G”RNE;DOLNOåL•SKIE;59-921;075;;;;;;     0 ;     0 
BIEDRZYCHOWICE K LUBANIA åL•SKIEGO;DOLNOåL•SKIE;59-811;075;;;;;;     0 ;     0 
BIEDRZYCH”W;DOLNOåL•SKIE;57-100;071;;;;;;     0 ;     0 
BIEGAN”W;DOLNOåL•SKIE;57-400;074;;;;;;     0 ;     0 
BIEGAN”WEK;DOLNOåL•SKIE;57-400;074;;;;;;     0 ;     0 
BIEGOSZ”W;DOLNOåL•SKIE;58-524;075;;;;;;     0 ;     0 
BIELA;DOLNOåL•SKIE;57-550;074;;;;;;     0 ;     0 
BIELANKA;DOLNOåL•SKIE;59-600;075;;;;;;     0 ;     0 
BIELANY;DOLNOåL•SKIE;59-245;076;;;;;;     0 ;     0 
BIELANY WROC£AWSKIE;DOLNOåL•SKIE;50-900;071;;;;;;     0 ;     0 
BIELANY WROC£AWSKIE;DOLNOåL•SKIE;55-056;071;;;;;;     0 ;     0 
BIELAWA;DOLNOåL•SKIE;56-412;071;;;;;;     0 ;     0 
BIELAWA;DOLNOåL•SKIE;58-260;074;;;;;;     0 ;     0 
BIELAWA;DOLNOåL•SKIE;58-261;074;;;;;;     0 ;     0 
BIELAWA;DOLNOåL•SKIE;58-263;074;;;;;;     0 ;     0 
BIELAWA DOLNA;DOLNOåL•SKIE;59-930;075;;;;;;     0 ;     0 
BIELAWA G”RNA;DOLNOåL•SKIE;59-911;075;;;;;;     0 ;     0 
BIELAWY;DOLNOåL•SKIE;55-026;071;;;;;;     0 ;     0 
BIELICHA;DOLNOåL•SKIE;56-100;071;;;;;;     0 ;     0 
BIELISZ”W;DOLNOåL•SKIE;56-209;065;;;;;;     0 ;     0 
BIELOWICE;DOLNOåL•SKIE;59-223;076;;;;;;     0 ;     0 
BIENICE;DOLNOåL•SKIE;59-731;075;;;;;;     0 ;     0 
BIENIOWICE;DOLNOåL•SKIE;59-216;076;;;;;;     0 ;     0 
BIERKOWICE;DOLNOåL•SKIE;57-315;074;;;;;;     0 ;     0 
BIERNA;DOLNOåL•SKIE;59-970;075;;;;;;     0 ;     0 
BIERNACICE;DOLNOåL•SKIE;57-220;074;;;;;;     0 ;     0 
BIERNATKI;DOLNOåL•SKIE;59-241;076;;;;;;     0 ;     0 
BIERNAT”W;DOLNOåL•SKIE;67-321;076;;;;;;     0 ;     0 
BIERUTOWICE;DOLNOåL•SKIE;58-540;075;;;;;;     0 ;     0 
BIERUT”W;DOLNOåL•SKIE;56-420;071;;;;;;     0 ;     0 
BIERZYCE;DOLNOåL•SKIE;55-108;071;;;;;;     0 ;     0 
BIERZYN;DOLNOåL•SKIE;57-103;071;;;;;;     0 ;     0 
BIESTRZYK”W;DOLNOåL•SKIE;50-900;071;;;;;;     0 ;     0 
BIESTRZYK”W;DOLNOåL•SKIE;52-267;071;;;;;;     0 ;     0 
BISKUPICZKI;DOLNOåL•SKIE;55-114;071;;;;;;     0 ;     0 
BISKUPIN;DOLNOåL•SKIE;59-226;076;;;;;;     0 ;     0 
BLEDZ”W;DOLNOåL•SKIE;50-900;071;;;;;;     0 ;     0 
BLIZOCIN;DOLNOåL•SKIE;55-105;071;;;;;;     0 ;     0 
B£AØEJ”W;DOLNOåL•SKIE;58-407;075;;;;;;     0 ;     0 
B£AØKOWA;DOLNOåL•SKIE;58-421;075;;;;;;     0 ;     0 
B£ONIE;DOLNOåL•SKIE;55-025;071;;;;;;     0 ;     0 
B£OTNICA;DOLNOåL•SKIE;57-151;071;;;;;;     0 ;     0 
B£OTNICA;DOLNOåL•SKIE;57-250;074;;;;;;     0 ;     0 
BOBOLICE;DOLNOåL•SKIE;57-200;074;;;;;;     0 ;     0 
BOBROWICE;DOLNOåL•SKIE;58-500;075;;;;;;     0 ;     0 
BOBROWICE;DOLNOåL•SKIE;67-321;076;;;;;;     0 ;     0 
BOBROWNIKI;DOLNOåL•SKIE;57-330;074;;;;;;     0 ;     0 
BOBR”W;DOLNOåL•SKIE;58-531;075;;;;;;     0 ;     0 
BOBR”W;DOLNOåL•SKIE;59-215;076;;;;;;     0 ;     0 
BOGATYNIA;DOLNOåL•SKIE;59-916;075;;;;;;     0 ;     0 
BOGATYNIA;DOLNOåL•SKIE;59-920;075;;;;;;     0 ;     0 
BOGDANKOWICE;DOLNOåL•SKIE;58-537;075;;;;;;     0 ;     0 
BOGDASZOWICE;DOLNOåL•SKIE;55-022;071;;;;;;     0 ;     0 
BOGOMICE;DOLNOåL•SKIE;67-200;076;;;;;;     0 ;     0 
BOGUCIN;DOLNOåL•SKIE;56-203;065;;;;;;     0 ;     0 
BOGUN”W;DOLNOåL•SKIE;55-030;071;;;;;;     0 ;     0 
BOGUS£AWICE;DOLNOåL•SKIE;55-010;071;;;;;;     0 ;     0 
BOGUS£AWICE;DOLNOåL•SKIE;56-415;071;;;;;;     0 ;     0 
BOGUSZ”W GORCE;DOLNOåL•SKIE;58-370;074;;;;;;     0 ;     0 
BOGUSZ”W GORCE;DOLNOåL•SKIE;58-371;074;;;;;;     0 ;     0 
BOGUSZ”W GORCE;DOLNOåL•SKIE;58-372;074;;;;;;     0 ;     0 
BOGUSZYCE;DOLNOåL•SKIE;55-030;071;;;;;;     0 ;     0 
BOGUSZYCE;DOLNOåL•SKIE;56-403;071;;;;;;     0 ;     0 
BOGUSZYN;DOLNOåL•SKIE;57-300;074;;;;;;     0 ;     0 
BOJANICE;DOLNOåL•SKIE;58-113;074;;;;;;     0 ;     0 
BOLES£AWIEC åL•SKI;DOLNOåL•SKIE;59-700;075;;;;;;     0 ;     0 
BOLES£AWIEC åL•SKI;DOLNOåL•SKIE;59-701;075;;;;;;     0 ;     0 
BOLES£AWIEC åL•SKI;DOLNOåL•SKIE;59-702;075;;;;;;     0 ;     0 
BOLES£AWIEC åL•SKI;DOLNOåL•SKIE;59-703;075;;;;;;     0 ;     0 
BOLES£AWIEC åL•SKI;DOLNOåL•SKIE;59-704;075;;;;;;     0 ;     0 
BOLES£AWOW;DOLNOåL•SKIE;57-550;074;;;;;;     0 ;     0 
BOLEåCIN;DOLNOåL•SKIE;55-108;071;;;;;;     0 ;     0 
BOLEåCIN;DOLNOåL•SKIE;58-112;074;;;;;;     0 ;     0 
BOLKOWICE;DOLNOåL•SKIE;59-415;076;;;;;;     0 ;     0 
BOLK”W;DOLNOåL•SKIE;59-420;076;;;;;;     0 ;     0 
BORASZYCE MA£E;DOLNOåL•SKIE;56-160;071;;;;;;     0 ;     0 
BORASZYCE WIELKIE;DOLNOåL•SKIE;56-150;071;;;;;;     0 ;     0 
BORASZYN;DOLNOåL•SKIE;56-124;071;;;;;;     0 ;     0 
BORECZEK;DOLNOåL•SKIE;57-160;071;;;;;;     0 ;     0 
BOREK;DOLNOåL•SKIE;55-055;071;;;;;;     0 ;     0 
BOREK STRZELI—SKI;DOLNOåL•SKIE;57-110;071;;;;;;     0 ;     0 
BORKI;DOLNOåL•SKIE;56-209;065;;;;;;     0 ;     0 
BORKOWICE;DOLNOåL•SKIE;55-035;071;;;;;;     0 ;     0 
BORK”W;DOLNOåL•SKIE;67-221;076;;;;;;     0 ;     0 
BOROW;DOLNOåL•SKIE;57-160;071;;;;;;     0 ;     0 
BOROWA;DOLNOåL•SKIE;56-412;071;;;;;;     0 ;     0 
BOROWA OLEåNICKA;DOLNOåL•SKIE;55-091;071;;;;;;     0 ;     0 
BOR”W;DOLNOåL•SKIE;55-039;071;;;;;;     0 ;     0 
BOR”W;DOLNOåL•SKIE;57-160;071;;;;;;     0 ;     0 
BOR”W;DOLNOåL•SKIE;58-375;074;;;;;;     0 ;     0 
BOR”WKI;DOLNOåL•SKIE;59-257;076;;;;;;     0 ;     0 
BOR”WNO;DOLNOåL•SKIE;58-379;074;;;;;;     0 ;     0 
BORSZYN MA£Y;DOLNOåL•SKIE;56-205;065;;;;;;     0 ;     0 
BORSZYN POLSKI;DOLNOåL•SKIE;56-205;065;;;;;;     0 ;     0 
BORZ CIN;DOLNOåL•SKIE;55-055;071;;;;;;     0 ;     0 
BORZYGNIEW;DOLNOåL•SKIE;55-081;071;;;;;;     0 ;     0 
BORZYNOWO;DOLNOåL•SKIE;56-305;071;;;;;;     0 ;     0 
BOØAN”W;DOLNOåL•SKIE;58-130;074;;;;;;     0 ;     0 
BOØEJOWICE;DOLNOåL•SKIE;59-700;075;;;;;;     0 ;     0 
BOØEJ”W;DOLNOåL•SKIE;59-941;075;;;;;;     0 ;     0 
BOØE—;DOLNOåL•SKIE;56-101;071;;;;;;     0 ;     0 
BOØKOWICE;DOLNOåL•SKIE;59-811;075;;;;;;     0 ;     0 
BOØK”W;DOLNOåL•SKIE;57-441;074;;;;;;     0 ;     0 
BOØNOWICE;DOLNOåL•SKIE;57-220;074;;;;;;     0 ;     0 
BRAC£AW;DOLNOåL•SKIE;56-303;071;;;;;;     0 ;     0 
BRASZOWICE;DOLNOåL•SKIE;57-206;074;;;;;;     0 ;     0 
BRATK”W;DOLNOåL•SKIE;59-915;075;;;;;;     0 ;     0 
BRATOWICE;DOLNOåL•SKIE;55-020;071;;;;;;     0 ;     0 
BRENNIK;DOLNOåL•SKIE;59-243;076;;;;;;     0 ;     0 
BROCHOCIN;DOLNOåL•SKIE;55-100;071;;;;;;     0 ;     0 
BROCHOCIN;DOLNOåL•SKIE;57-151;071;;;;;;     0 ;     0 
BROCHOCIN;DOLNOåL•SKIE;59-512;076;;;;;;     0 ;     0 
BROCHOCINEK;DOLNOåL•SKIE;57-150;071;;;;;;     0 ;     0 
BRODNO;DOLNOåL•SKIE;55-300;071;;;;;;     0 ;     0 
BRODOWCE;DOLNOåL•SKIE;56-413;071;;;;;;     0 ;     0 
BRODOWICE;DOLNOåL•SKIE;59-341;076;;;;;;     0 ;     0 
BROD”W;DOLNOåL•SKIE;59-305;076;;;;;;     0 ;     0 
BRODZISZ”W;DOLNOåL•SKIE;57-212;074;;;;;;     0 ;     0 
BRONIKOWICE;DOLNOåL•SKIE;59-830;075;;;;;;     0 ;     0 
BRONIM;DOLNOåL•SKIE;59-226;076;;;;;;     0 ;     0 
BRONOWIEC;DOLNOåL•SKIE;59-723;075;;;;;;     0 ;     0 
BRON”W;DOLNOåL•SKIE;56-207;065;;;;;;     0 ;     0 
BRON”W;DOLNOåL•SKIE;58-377;074;;;;;;     0 ;     0 
BRUKALICE;DOLNOåL•SKIE;57-210;074;;;;;;     0 ;     0 
BRUN”W;DOLNOåL•SKIE;59-600;075;;;;;;     0 ;     0 
BRY£”W;DOLNOåL•SKIE;57-120;071;;;;;;     0 ;     0 
BRY£”WEK;DOLNOåL•SKIE;57-120;071;;;;;;     0 ;     0 
BRZEG;DOLNOåL•SKIE;67-232;076;;;;;;     0 ;     0 
BRZEG DOLNY;DOLNOåL•SKIE;56-120;071;;;;;;     0 ;     0 
BRZEG DOLNY;DOLNOåL•SKIE;56-121;071;;;;;;     0 ;     0 
BRZEG DOLNY;DOLNOåL•SKIE;56-122;071;;;;;;     0 ;     0 
BRZEG G£OGOWSKI;DOLNOåL•SKIE;67-232;076;;;;;;     0 ;     0 
BRZEåCIE;DOLNOåL•SKIE;55-030;071;;;;;;     0 ;     0 
BRZEZIA £•KA;DOLNOåL•SKIE;55-092;071;;;;;;     0 ;     0 
BRZEZIA £•KA;DOLNOåL•SKIE;56-405;071;;;;;;     0 ;     0 
BRZEZICA;DOLNOåL•SKIE;57-160;071;;;;;;     0 ;     0 
BRZEZIE;DOLNOåL•SKIE;55-112;071;;;;;;     0 ;     0 
BRZEZIE;DOLNOåL•SKIE;59-600;075;;;;;;     0 ;     0 
BRZEZIE KARKONOSKIE;DOLNOåL•SKIE;58-540;075;;;;;;     0 ;     0 
BRZEZINA;DOLNOåL•SKIE;55-026;071;;;;;;     0 ;     0 
BRZEZINA;DOLNOåL•SKIE;56-330;071;;;;;;     0 ;     0 
BRZEZINA;DOLNOåL•SKIE;56-417;071;;;;;;     0 ;     0 
BRZEZINA SU£OWSKA;DOLNOåL•SKIE;56-306;071;;;;;;     0 ;     0 
BRZEZINIEC;DOLNOåL•SKIE;59-870;075;;;;;;     0 ;     0 
BRZEZINKA;DOLNOåL•SKIE;56-403;071;;;;;;     0 ;     0 
BRZEZINKA;DOLNOåL•SKIE;59-215;076;;;;;;     0 ;     0 
BRZEZINKA åREDZKA;DOLNOåL•SKIE;55-026;071;;;;;;     0 ;     0 
BRZEZINKI;DOLNOåL•SKIE;55-230;071;;;;;;     0 ;     0 
BRZEZINY;DOLNOåL•SKIE;59-341;076;;;;;;     0 ;     0 
BRZEZMIERZ;DOLNOåL•SKIE;55-217;071;;;;;;     0 ;     0 
BRZEèNA;DOLNOåL•SKIE;59-950;075;;;;;;     0 ;     0 
BRZEèNICA;DOLNOåL•SKIE;57-257;074;;;;;;     0 ;     0 
BRZEèNICA K Z•BKOWIC åL•SKICH;DOLNOåL•SKIE;57-257;074;;;;;;     0 ;     0 
BRZEèNIK;DOLNOåL•SKIE;59-700;075;;;;;;     0 ;     0 
BRZEèNO;DOLNOåL•SKIE;55-039;071;;;;;;     0 ;     0 
BRZEØANY;DOLNOåL•SKIE;56-203;065;;;;;;     0 ;     0 
BRZEØANY;DOLNOåL•SKIE;59-820;075;;;;;;     0 ;     0 
BRZOSTOWO;DOLNOåL•SKIE;56-320;071;;;;;;     0 ;     0 
BRZOST”W;DOLNOåL•SKIE;67-200;076;;;;;;     0 ;     0 
BRZOST”WKO;DOLNOåL•SKIE;56-320;071;;;;;;     0 ;     0 
BRZOZA;DOLNOåL•SKIE;55-030;071;;;;;;     0 ;     0 
BRZOZOWIE;DOLNOåL•SKIE;57-350;074;;;;;;     0 ;     0 
BRZOZOWIEC;DOLNOåL•SKIE;56-305;071;;;;;;     0 ;     0 
BRZOZY;DOLNOåL•SKIE;59-226;076;;;;;;     0 ;     0 
BRZ”ZKA;DOLNOåL•SKIE;56-160;071;;;;;;     0 ;     0 
BRZYK”W;DOLNOåL•SKIE;55-100;071;;;;;;     0 ;     0 
BUCZE;DOLNOåL•SKIE;59-150;075;;;;;;     0 ;     0 
BUCZEK;DOLNOåL•SKIE;67-321;076;;;;;;     0 ;     0 
BUCZYNA;DOLNOåL•SKIE;59-160;075;;;;;;     0 ;     0 
BUCZYNKA;DOLNOåL•SKIE;59-323;076;;;;;;     0 ;     0 
BUDCZYCE;DOLNOåL•SKIE;55-106;071;;;;;;     0 ;     0 
BUDK”W;DOLNOåL•SKIE;56-150;071;;;;;;     0 ;     0 
BUDK”W;DOLNOåL•SKIE;59-725;075;;;;;;     0 ;     0 
BUDY;DOLNOåL•SKIE;56-400;071;;;;;;     0 ;     0 
BUDZISZ;DOLNOåL•SKIE;55-110;071;;;;;;     0 ;     0 
BUDZISZ”W;DOLNOåL•SKIE;55-040;071;;;;;;     0 ;     0 
BUDZISZ”W;DOLNOåL•SKIE;55-316;071;;;;;;     0 ;     0 
BUDZISZ”W MA£Y;DOLNOåL•SKIE;59-245;076;;;;;;     0 ;     0 
BUDZISZ”W WIELKI;DOLNOåL•SKIE;59-245;076;;;;;;     0 ;     0 
BUDZISZ”W WIELKI;DOLNOåL•SKIE;59-431;076;;;;;;     0 ;     0 
BUDZIWOJOWICE;DOLNOåL•SKIE;55-108;071;;;;;;     0 ;     0 
BUDZIWOJ”W;DOLNOåL•SKIE;59-512;076;;;;;;     0 ;     0 
BUDZ”W;DOLNOåL•SKIE;57-214;074;;;;;;     0 ;     0 
BUDZ”W K Z•BKOWIC åL•SKICH;DOLNOåL•SKIE;57-214;074;;;;;;     0 ;     0 
BUDZ”W KOLONIA;DOLNOåL•SKIE;57-214;074;;;;;;     0 ;     0 
BUKOWICA;DOLNOåL•SKIE;67-311;076;;;;;;     0 ;     0 
BUKOWICE;DOLNOåL•SKIE;56-321;071;;;;;;     0 ;     0 
BUKOWICE TRZEBNICKIE;DOLNOåL•SKIE;56-321;071;;;;;;     0 ;     0 
BUKOWICZKA;DOLNOåL•SKIE;67-311;076;;;;;;     0 ;     0 
BUKOWIEC;DOLNOåL•SKIE;56-120;071;;;;;;     0 ;     0 
BUKOWIEC;DOLNOåL•SKIE;58-532;075;;;;;;     0 ;     0 
BUKOWINA;DOLNOåL•SKIE;55-108;071;;;;;;     0 ;     0 
BUKOWINA;DOLNOåL•SKIE;67-224;076;;;;;;     0 ;     0 
BUKOWINA SYCOWSKA;DOLNOåL•SKIE;56-512;071;;;;;;     0 ;     0 
BUK”WEK;DOLNOåL•SKIE;55-312;071;;;;;;     0 ;     0 
BUSZKOWICE;DOLNOåL•SKIE;56-124;071;;;;;;     0 ;     0 
BUSZKOWICE;DOLNOåL•SKIE;59-330;076;;;;;;     0 ;     0 
BYCHEWO;DOLNOåL•SKIE;55-055;071;;;;;;     0 ;     0 
BYCZE—;DOLNOåL•SKIE;57-230;074;;;;;;     0 ;     0 
BYK”W;DOLNOåL•SKIE;56-411;071;;;;;;     0 ;     0 
BYSTRE;DOLNOåL•SKIE;56-400;071;;;;;;     0 ;     0 
BYSTRZYCA;DOLNOåL•SKIE;55-205;071;;;;;;     0 ;     0 
BYSTRZYCA;DOLNOåL•SKIE;59-610;075;;;;;;     0 ;     0 
BYSTRZYCA DOLNA;DOLNOåL•SKIE;58-100;074;;;;;;     0 ;     0 
BYSTRZYCA G”RNA;DOLNOåL•SKIE;58-114;074;;;;;;     0 ;     0 
BYSTRZYCA K O£AWY;DOLNOåL•SKIE;55-205;071;;;;;;     0 ;     0 
BYSTRZYCA K£ODZKA;DOLNOåL•SKIE;57-500;074;;;;;;     0 ;     0 
BYSTRZYCA K£ODZKA;DOLNOåL•SKIE;57-501;074;;;;;;     0 ;     0 
BYTKOWICE;DOLNOåL•SKIE;57-400;074;;;;;;     0 ;     0 
CEREKWICA;DOLNOåL•SKIE;55-106;071;;;;;;     0 ;     0 
CESARZOWICE;DOLNOåL•SKIE;55-070;071;;;;;;     0 ;     0 
CESARZOWICE;DOLNOåL•SKIE;55-312;071;;;;;;     0 ;     0 
CHE£M;DOLNOåL•SKIE;55-312;071;;;;;;     0 ;     0 
CHE£M;DOLNOåL•SKIE;59-340;076;;;;;;     0 ;     0 
CHE£MEK WO£OWSKI;DOLNOåL•SKIE;59-342;076;;;;;;     0 ;     0 
CHE£MIEC;DOLNOåL•SKIE;59-422;076;;;;;;     0 ;     0 
CHE£MSKO åL•SKIE;DOLNOåL•SKIE;58-407;075;;;;;;     0 ;     0 
CHE£ST”W;DOLNOåL•SKIE;56-416;071;;;;;;     0 ;     0 
CHE£ST”WEK;DOLNOåL•SKIE;56-416;071;;;;;;     0 ;     0 
CHICHY;DOLNOåL•SKIE;67-320;076;;;;;;     0 ;     0 
CHOBIENIA;DOLNOåL•SKIE;59-340;076;;;;;;     0 ;     0 
CHOCIANOWIEC;DOLNOåL•SKIE;59-145;075;;;;;;     0 ;     0 
CHOCIAN”W;DOLNOåL•SKIE;59-140;075;;;;;;     0 ;     0 
CHOCIAN”W;DOLNOåL•SKIE;59-141;075;;;;;;     0 ;     0 
CHOCIESZ”W;DOLNOåL•SKIE;57-322;074;;;;;;     0 ;     0 
CHOJN”W;DOLNOåL•SKIE;59-224;076;;;;;;     0 ;     0 
CHOJN”W;DOLNOåL•SKIE;59-225;076;;;;;;     0 ;     0 
CHOR•GWICE;DOLNOåL•SKIE;56-208;065;;;;;;     0 ;     0 
CHROMIEC;DOLNOåL•SKIE;58-512;075;;;;;;     0 ;     0 
CHROåLICE;DOLNOåL•SKIE;59-424;076;;;;;;     0 ;     0 
CHROåNICA;DOLNOåL•SKIE;58-513;075;;;;;;     0 ;     0 
CHR”STNIK;DOLNOåL•SKIE;59-311;076;;;;;;     0 ;     0 
CHR”åCINA;DOLNOåL•SKIE;56-204;065;;;;;;     0 ;     0 
CHR”åCINA K G”RY åL•SKIEJ;DOLNOåL•SKIE;56-204;065;;;;;;     0 ;     0 
CHRZAN”W;DOLNOåL•SKIE;55-040;071;;;;;;     0 ;     0 
CHRZ•STAWA WIELKA;DOLNOåL•SKIE;55-001;071;;;;;;     0 ;     0 
CHRZ•STOWA MA£A;DOLNOåL•SKIE;55-001;071;;;;;;     0 ;     0 
CHRZ•STOWA WIELKA;DOLNOåL•SKIE;55-001;071;;;;;;     0 ;     0 
CHWALIBOØYCE;DOLNOåL•SKIE;55-200;071;;;;;;     0 ;     0 
CHWALIMIERZ;DOLNOåL•SKIE;55-300;071;;;;;;     0 ;     0 
CHWALIS£AW;DOLNOåL•SKIE;57-250;074;;;;;;     0 ;     0 
CHWALISZ”W;DOLNOåL•SKIE;58-312;074;;;;;;     0 ;     0 
CHWA£K”W;DOLNOåL•SKIE;58-123;074;;;;;;     0 ;     0 
CHWA£OWICE;DOLNOåL•SKIE;55-230;071;;;;;;     0 ;     0 
CHWA£”W;DOLNOåL•SKIE;55-082;071;;;;;;     0 ;     0 
CIECHANOWICE;DOLNOåL•SKIE;58-410;075;;;;;;     0 ;     0 
CIECHAN”W;DOLNOåL•SKIE;56-208;065;;;;;;     0 ;     0 
CIECH”W;DOLNOåL•SKIE;55-300;071;;;;;;     0 ;     0 
CIECISZ”W;DOLNOåL•SKIE;67-300;076;;;;;;     0 ;     0 
CIENKOWICE;DOLNOåL•SKIE;57-211;074;;;;;;     0 ;     0 
CIEPLICE åL•SKIE ZDR”J;DOLNOåL•SKIE;58-500;075;;;;;;     0 ;     0 
CIEP£OWODY;DOLNOåL•SKIE;57-211;074;;;;;;     0 ;     0 
CIERNIE;DOLNOåL•SKIE;58-160;074;;;;;;     0 ;     0 
