Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys, mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
lubelskie;Bia³a Podlaska;8;1,4;2;0;2;t0661
lubelskie;Che³m;19;3,09;0;0;0;t0662
lubelskie;Lublin;24;0,71;0;0;0;t0663
lubelskie;Zamoœæ;6;0,95;0;0;0;t0664
lubuskie;gorzowski;10;1,39;0;0;0;t0801
lubuskie;kroœnieñski;33;6,03;0;0;0;t0802
lubuskie;miêdzyrzecki;14;2,44;0;0;0;t0803
lubuskie;nowosolski;20;2,33;0;0;0;t0804
lubuskie;s³ubicki;23;4,9;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;17;3,48;0;0;0;t0806
lubuskie;sulêciñski;24;6,84;0;0;0;t0807
lubuskie;œwiebodziñski;13;2,33;0;0;0;t0808
lubuskie;zielonogórski;15;1,98;0;0;0;t0809
lubuskie;¿agañski;5;0,64;0;0;0;t0810
lubuskie;¿arski;21;2,19;0;0;0;t0811
lubuskie;wschowski;4;1,03;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;24;1,95;0;0;0;t0861
lubuskie;Zielona Góra;36;2,55;0;0;0;t0862
³ódzkie;be³chatowski;5;0,44;0;0;0;t1001
³ódzkie;kutnowski;15;1,56;0;0;0;t1002
³ódzkie;³aski;7;1,41;0;0;0;t1003
³ódzkie;³êczycki;3;0,61;0;0;0;t1004
³ódzkie;³owicki;1;0,13;0;0;0;t1005
³ódzkie;³ódzki wschodni;13;1,8;0;0;0;t1006
³ódzkie;opoczyñski;0;0;0;0;0;t1007
³ódzkie;pabianicki;24;2,01;0;0;0;t1008
³ódzkie;pajêczañski;10;1,96;0;0;0;t1009
³ódzkie;piotrkowski;3;0,33;0;0;0;t1010
³ódzkie;poddêbicki;4;0,97;1;0;1;t1011
³ódzkie;radomszczañski;13;1,16;0;0;0;t1012
³ódzkie;rawski;0;0;0;0;0;t1013
³ódzkie;sieradzki;40;3,41;5;5;0;t1014
³ódzkie;skierniewicki;1;0,26;0;0;0;t1015
³ódzkie;tomaszowski;16;1,38;0;0;0;t1016
³ódzkie;wieluñski;15;1,97;0;0;0;t1017
³ódzkie;wieruszowski;0;0;0;0;0;t1018
³ódzkie;zduñskowolski;10;1,51;0;0;0;t1019
³ódzkie;zgierski;30;1,81;0;0;0;t1020
³ódzkie;brzeziñski;9;2,92;0;0;0;t1021
³ódzkie;£ódŸ;152;2,24;0;0;0;t1061
³ódzkie;Piotrków Trybunalski;3;0,41;0;0;0;t1062
³ódzkie;Skierniewice;1;0,21;4;2;2;t1063
ma³opolskie;bocheñski;4;0,37;0;0;0;t1201
ma³opolskie;brzeski;5;0,54;0;0;0;t1202
ma³opolskie;chrzanowski;9;0,72;0;0;0;t1203
ma³opolskie;d¹browski;4;0,68;0;0;0;t1204
ma³opolskie;gorlicki;5;0,46;0;0;0;t1205
ma³opolskie;krakowski;26;0,93;0;0;0;t1206
ma³opolskie;limanowski;5;0,38;0;0;0;t1207
ma³opolskie;miechowski;3;0,62;0;0;0;t1208
ma³opolskie;myœlenicki;8;0,63;0;0;0;t1209
ma³opolskie;nowos¹decki;25;1,15;0;0;0;t1210
ma³opolskie;nowotarski;2;0,1;0;0;0;t1211
ma³opolskie;olkuski;12;1,08;0;0;0;t1212
ma³opolskie;oœwiêcimski;8;0,52;0;0;0;t1213
ma³opolskie;proszowicki;1;0,23;0;0;0;t1214
ma³opolskie;suski;4;0,48;0;0;0;t1215
ma³opolskie;tarnowski;40;1,99;1;0;1;t1216
ma³opolskie;tatrzañski;7;1,03;0;0;0;t1217
ma³opolskie;wadowicki;15;0,94;1;0;1;t1218
ma³opolskie;wielicki;5;0,38;0;0;0;t1219
ma³opolskie;Kraków;63;0,81;0;0;0;t1261
ma³opolskie;Nowy S¹cz;11;1,31;0;0;0;t1262
ma³opolskie;Tarnów;18;1,66;0;0;0;t1263
mazowieckie;bia³obrzeski;3;0,9;0;0;0;t1401
mazowieckie;ciechanowski;7;0,78;0;0;0;t1402
mazowieckie;garwoliñski;3;0,28;0;0;0;t1403
mazowieckie;gostyniñski;7;1,56;1;0;1;t1404
mazowieckie;grodziski;20;2,07;0;0;0;t1405
mazowieckie;grójecki;13;1,32;0;0;0;t1406
mazowieckie;kozienicki;7;1,17;0;0;0;t1407
mazowieckie;legionowski;13;1,09;0;0;0;t1408
mazowieckie;lipski;0;0;0;0;0;t1409
mazowieckie;³osicki;5;1,63;0;0;0;t1410
mazowieckie;makowski;25;5,6;0;0;0;t1411
mazowieckie;miñski;28;1,81;0;0;0;t1412
mazowieckie;m³awski;13;1,79;0;0;0;t1413
mazowieckie;nowodworski;6;0,76;1;0;1;t1414
mazowieckie;ostro³êcki;3;0,34;2;0;2;t1415
mazowieckie;ostrowski;0;0;0;0;0;t1416
mazowieckie;otwocki;13;1,04;0;0;0;t1417
mazowieckie;piaseczyñski;26;1,37;0;0;0;t1418
mazowieckie;p³ocki;19;1,71;0;0;0;t1419
mazowieckie;p³oñski;9;1,04;0;0;0;t1420
mazowieckie;pruszkowski;42;2,52;0;0;0;t1421
mazowieckie;przasnyski;0;0;0;0;0;t1422
mazowieckie;przysuski;0;0;0;0;0;t1423
mazowieckie;pu³tuski;7;1,35;0;0;0;t1424
mazowieckie;radomski;8;0,53;0;0;0;t1425
mazowieckie;siedlecki;24;2,95;0;0;0;t1426
mazowieckie;sierpecki;7;1,35;0;0;0;t1427
mazowieckie;sochaczewski;14;1,65;0;0;0;t1428
mazowieckie;soko³owski;2;0,37;0;0;0;t1429
mazowieckie;szyd³owiecki;3;0,76;0;0;0;t1430
mazowieckie;warszawski zachodni;17;1,42;0;0;0;t1432
mazowieckie;wêgrowski;6;0,91;0;0;0;t1433
mazowieckie;wo³omiñski;23;0,92;0;0;0;t1434
mazowieckie;wyszkowski;6;0,81;0;0;0;t1435
mazowieckie;zwoleñski;22;6,11;0;0;0;t1436
mazowieckie;¿uromiñski;0;0;0;0;0;t1437
mazowieckie;¿yrardowski;6;0,79;0;0;0;t1438
mazowieckie;Ostro³êka;1;0,19;0;0;0;t1461
mazowieckie;P³ock;24;2,02;0;0;0;t1462
mazowieckie;Radom;24;1,14;0;0;0;t1463
mazowieckie;Siedlce;9;1,15;0;0;0;t1464
mazowieckie;Warszawa;194;1,08;11;0;11;t1465
opolskie;brzeski;16;1,79;0;0;0;t1601
opolskie;g³ubczycki;2;0,44;0;0;0;t1602
opolskie;kêdzierzyñsko-kozielski;16;1,71;0;0;0;t1603
opolskie;kluczborski;8;1,23;0;0;0;t1604
opolskie;krapkowicki;7;1,1;0;0;0;t1605
opolskie;namys³owski;16;3,75;0;0;0;t1606
opolskie;nyski;39;2,88;0;0;0;t1607
opolskie;oleski;6;0,94;0;0;0;t1608
opolskie;opolski;36;2,91;0;0;0;t1609
opolskie;prudnicki;14;2,54;0;0;0;t1610
opolskie;strzelecki;15;2,02;0;0;0;t1611
opolskie;Opole;23;1,8;0;0;0;t1661
podkarpackie;bieszczadzki;0;0;0;0;0;t1801
podkarpackie;brzozowski;1;0,15;0;0;0;t1802
podkarpackie;dêbicki;2;0,15;0;0;0;t1803
podkarpackie;jaros³awski;11;0,92;0;0;0;t1804
podkarpackie;jasielski;4;0,35;0;0;0;t1805
podkarpackie;kolbuszowski;3;0,48;0;0;0;t1806
podkarpackie;kroœnieñski;0;0;0;0;0;t1807
podkarpackie;le¿ajski;9;1,3;0;0;0;t1808
podkarpackie;lubaczowski;3;0,55;0;0;0;t1809
podkarpackie;³añcucki;15;1,85;0;0;0;t1810
podkarpackie;mielecki;11;0,8;1;0;1;t1811
podkarpackie;ni¿añski;23;3,46;0;0;0;t1812
podkarpackie;przemyski;15;2,03;0;0;0;t1813
podkarpackie;przeworski;4;0,51;0;0;0;t1814
podkarpackie;ropczycko-sêdziszowski;10;1,34;0;0;0;t1815
podkarpackie;rzeszowski;14;0,82;3;0;3;t1816
podkarpackie;sanocki;1;0,11;0;0;0;t1817
podkarpackie;stalowowolski;21;1,98;0;0;0;t1818
podkarpackie;strzy¿owski;1;0,16;0;0;0;t1819
podkarpackie;tarnobrzeski;8;1,51;0;0;0;t1820
podkarpackie;leski;0;0;1;1;0;t1821
podkarpackie;Krosno;2;0,43;0;0;0;t1861
podkarpackie;Przemyœl;14;2,32;0;0;0;t1862
podkarpackie;Rzeszów;20;1,02;2;0;2;t1863
podkarpackie;Tarnobrzeg;9;1,93;0;0;0;t1864
podlaskie;augustowski;4;0,69;0;0;0;t2001
podlaskie;bia³ostocki;26;1,73;0;0;0;t2002
podlaskie;bielski;10;1,85;0;0;0;t2003
podlaskie;grajewski;3;0,64;1;0;1;t2004
podlaskie;hajnowski;2;0,47;0;0;0;t2005
podlaskie;kolneñski;0;0;0;0;0;t2006
podlaskie;³om¿yñski;4;0,79;0;0;0;t2007
podlaskie;moniecki;1;0,25;0;0;0;t2008
podlaskie;sejneñski;0;0;0;0;0;t2009
podlaskie;siemiatycki;1;0,23;0;0;0;t2010
podlaskie;sokólski;7;1,06;1;0;1;t2011
podlaskie;suwalski;7;1,97;0;0;0;t2012
podlaskie;wysokomazowiecki;2;0,35;0;0;0;t2013
podlaskie;zambrowski;0;0;0;0;0;t2014
podlaskie;Bia³ystok;25;0,84;0;0;0;t2061
podlaskie;£om¿a;8;1,27;0;0;0;t2062
podlaskie;Suwa³ki;18;2,58;0;0;0;t2063
pomorskie;bytowski;16;2,02;0;0;0;t2201
pomorskie;chojnicki;10;1,02;0;0;0;t2202
pomorskie;cz³uchowski;10;1,79;0;0;0;t2203
pomorskie;gdañski;26;2,18;2;0;2;t2204
pomorskie;kartuski;14;0,99;0;0;0;t2205
pomorskie;koœcierski;17;2,33;0;0;0;t2206
pomorskie;kwidzyñski;24;2,89;0;0;0;t2207
pomorskie;lêborski;5;0,76;0;0;0;t2208
pomorskie;malborski;25;3,94;0;0;0;t2209
pomorskie;nowodworski;5;1,41;0;0;0;t2210
pomorskie;pucki;11;1,26;0;0;0;t2211
pomorskie;s³upski;22;2,23;0;0;0;t2212
pomorskie;starogardzki;17;1,33;0;0;0;t2213
pomorskie;tczewski;63;5,45;0;0;0;t2214
pomorskie;wejherowski;32;1,46;0;0;0;t2215
pomorskie;sztumski;23;5,59;0;0;0;t2216
pomorskie;Gdañsk;65;1,38;0;0;0;t2261
pomorskie;Gdynia;35;1,42;1;1;0;t2262
pomorskie;S³upsk;18;1,99;0;0;0;t2263
pomorskie;Sopot;3;0,84;0;0;0;t2264
œl¹skie;bêdziñski;8;0,54;0;0;0;t2401
œl¹skie;bielski;12;0,72;0;0;0;t2402
œl¹skie;cieszyñski;35;1,97;0;0;0;t2403
œl¹skie;czêstochowski;9;0,67;1;0;1;t2404
œl¹skie;gliwicki;15;1,3;0;0;0;t2405
œl¹skie;k³obucki;14;1,66;1;0;1;t2406
œl¹skie;lubliniecki;11;1,44;0;0;0;t2407
œl¹skie;miko³owski;6;0,6;0;0;0;t2408
œl¹skie;myszkowski;10;1,41;1;0;1;t2409
œl¹skie;pszczyñski;17;1,52;0;0;0;t2410
œl¹skie;raciborski;13;1,2;0;0;0;t2411
œl¹skie;rybnicki;2;0,26;0;0;0;t2412
œl¹skie;tarnogórski;13;0,92;0;0;0;t2413
œl¹skie;bieruñsko-lêdziñski;4;0,67;0;0;0;t2414
œl¹skie;wodzis³awski;6;0,38;0;0;0;t2415
œl¹skie;zawierciañski;14;1,2;1;0;1;t2416
œl¹skie;¿ywiecki;3;0,2;0;0;0;t2417
œl¹skie;Bielsko-Bia³a;11;0,65;0;0;0;t2461
œl¹skie;Bytom;7;0,43;1;0;1;t2462
œl¹skie;Chorzów;7;0,65;0;0;0;t2463
œl¹skie;Czêstochowa;26;1,19;2;0;2;t2464
œl¹skie;D¹browa Górnicza;10;0,84;0;0;0;t2465
œl¹skie;Gliwice;11;0,62;1;0;1;t2466
œl¹skie;Jastrzêbie-Zdrój;9;1,02;0;0;0;t2467
œl¹skie;Jaworzno;10;1,1;0;0;0;t2468
œl¹skie;Katowice;39;1,34;3;2;1;t2469
œl¹skie;Mys³owice;4;0,54;1;0;1;t2470
œl¹skie;Piekary Œl¹skie;6;1,09;0;0;0;t2471
œl¹skie;Ruda Œl¹ska;18;1,31;1;0;1;t2472
œl¹skie;Rybnik;9;0,65;1;0;1;t2473
œl¹skie;Siemianowice Œl¹skie;4;0,6;2;2;0;t2474
œl¹skie;Sosnowiec;26;1,31;0;0;0;t2475
œl¹skie;Œwiêtoch³owice;2;0,41;0;0;0;t2476
œl¹skie;Tychy;14;1,1;0;0;0;t2477
œl¹skie;Zabrze;8;0,47;1;0;1;t2478
œl¹skie;¯ory;8;1,28;1;0;1;t2479
œwiêtokrzyskie;buski;36;5,04;0;0;0;t2601
œwiêtokrzyskie;jêdrzejowski;21;2,47;0;0;0;t2602
œwiêtokrzyskie;kazimierski;5;1,49;0;0;0;t2603
œwiêtokrzyskie;kielecki;22;1,04;0;0;0;t2604
œwiêtokrzyskie;konecki;6;0,75;0;0;0;t2605
œwiêtokrzyskie;opatowski;4;0,77;0;0;0;t2606
œwiêtokrzyskie;ostrowiecki;8;0,74;1;0;1;t2607
œwiêtokrzyskie;piñczowski;4;1,03;0;0;0;t2608
œwiêtokrzyskie;sandomierski;10;1,3;0;0;0;t2609
œwiêtokrzyskie;skar¿yski;9;1,22;0;0;0;t2610
œwiêtokrzyskie;starachowicki;37;4,15;1;1;0;t2611
œwiêtokrzyskie;staszowski;3;0,42;0;0;0;t2612
œwiêtokrzyskie;w³oszczowski;0;0;0;0;0;t2613
œwiêtokrzyskie;Kielce;27;1,39;0;0;0;t2661
warmiñsko-mazurskie;bartoszycki;0;0;0;0;0;t2801
warmiñsko-mazurskie;braniewski;28;6,84;3;0;3;t2802
warmiñsko-mazurskie;dzia³dowski;28;4,31;1;0;1;t2803
warmiñsko-mazurskie;elbl¹ski;33;5,78;0;0;0;t2804
warmiñsko-mazurskie;e³cki;20;2,18;0;0;0;t2805
warmiñsko-mazurskie;gi¿ycki;1;0,18;0;0;0;t2806
warmiñsko-mazurskie;i³awski;7;0,75;0;0;0;t2807
warmiñsko-mazurskie;kêtrzyñski;3;0,48;0;0;0;t2808
warmiñsko-mazurskie;lidzbarski;4;0,97;0;0;0;t2809
warmiñsko-mazurskie;mr¹gowski;6;1,21;0;0;0;t2810
warmiñsko-mazurskie;nidzicki;4;1,22;0;0;0;t2811
warmiñsko-mazurskie;nowomiejski;6;1,37;1;0;1;t2812
warmiñsko-mazurskie;olecki;2;0,59;0;0;0;t2813
warmiñsko-mazurskie;olsztyñski;14;1,1;0;0;0;t2814
warmiñsko-mazurskie;ostródzki;72;6,93;2;0;2;t2815
warmiñsko-mazurskie;piski;0;0;0;0;0;t2816
warmiñsko-mazurskie;szczycieñski;28;4,04;2;0;2;t2817
warmiñsko-mazurskie;go³dapski;0;0;0;0;0;t2818
warmiñsko-mazurskie;wêgorzewski;0;0;0;0;0;t2819
warmiñsko-mazurskie;Elbl¹g;42;3,53;0;0;0;t2861
warmiñsko-mazurskie;Olsztyn;29;1,69;0;0;0;t2862
wielkopolskie;chodzieski;2;0,43;0;0;0;t3001
wielkopolskie;czarnkowsko-trzcianecki;66;7,6;0;0;0;t3002
wielkopolskie;gnieŸnieñski;2;0,14;3;0;3;t3003
wielkopolskie;gostyñski;5;0,66;0;0;0;t3004
wielkopolskie;grodziski;5;0,96;0;0;0;t3005
wielkopolskie;jarociñski;1;0,14;0;0;0;t3006
wielkopolskie;kaliski;6;0,72;0;0;0;t3007
wielkopolskie;kêpiñski;1;0,18;0;0;0;t3008
wielkopolskie;kolski;3;0,35;0;0;0;t3009
wielkopolskie;koniñski;9;0,69;0;0;0;t3010
wielkopolskie;koœciañski;15;1,9;0;0;0;t3011
wielkopolskie;krotoszyñski;6;0,78;0;0;0;t3012
wielkopolskie;leszczyñski;11;1,91;0;0;0;t3013
wielkopolskie;miêdzychodzki;11;3;2;2;0;t3014
wielkopolskie;nowotomyski;13;1,72;2;0;2;t3015
wielkopolskie;obornicki;1;0,17;1;0;1;t3016
wielkopolskie;ostrowski;33;2,04;0;0;0;t3017
wielkopolskie;ostrzeszowski;1;0,18;0;0;0;t3018
wielkopolskie;pilski;10;0,74;2;0;2;t3019
wielkopolskie;pleszewski;10;1,59;0;0;0;t3020
wielkopolskie;poznañski;56;1,39;15;0;15;t3021
wielkopolskie;rawicki;9;1,49;0;0;0;t3022
wielkopolskie;s³upecki;15;2,54;0;0;0;t3023
wielkopolskie;szamotulski;48;5,23;0;0;0;t3024
wielkopolskie;œredzki;7;1,19;1;0;1;t3025
wielkopolskie;œremski;10;1,63;0;0;0;t3026
wielkopolskie;turecki;12;1,43;0;0;0;t3027
wielkopolskie;w¹growiecki;22;3,13;2;1;1;t3028
wielkopolskie;wolsztyñski;3;0,52;0;0;0;t3029
wielkopolskie;wrzesiñski;20;2,56;2;1;1;t3030
wielkopolskie;z³otowski;9;1,3;0;0;0;t3031
wielkopolskie;Kalisz;7;0,7;0;0;0;t3061
wielkopolskie;Konin;10;1,37;0;0;0;t3062
wielkopolskie;Leszno;11;1,74;0;0;0;t3063
wielkopolskie;Poznañ;82;1,54;0;0;0;t3064
zachodniopomorskie;bia³ogardzki;43;9,07;0;0;0;t3201
zachodniopomorskie;choszczeñski;61;12,7;0;0;0;t3202
zachodniopomorskie;drawski;15;2,64;1;0;1;t3203
zachodniopomorskie;goleniowski;41;4,98;0;0;0;t3204
zachodniopomorskie;gryficki;14;2,33;0;0;0;t3205
zachodniopomorskie;gryfiñski;34;4,17;0;0;0;t3206
zachodniopomorskie;kamieñski;17;3,63;0;0;0;t3207
zachodniopomorskie;ko³obrzeski;14;1,76;0;0;0;t3208
zachodniopomorskie;koszaliñski;16;2,41;0;0;0;t3209
zachodniopomorskie;myœliborski;12;1,83;0;0;0;t3210
zachodniopomorskie;policki;13;1,6;0;0;0;t3211
zachodniopomorskie;pyrzycki;5;1,27;0;0;0;t3212
zachodniopomorskie;s³awieñski;24;4,28;0;0;0;t3213
zachodniopomorskie;stargardzki;37;3,08;0;0;0;t3214
zachodniopomorskie;szczecinecki;22;2,84;0;0;0;t3215
zachodniopomorskie;œwidwiñski;6;1,29;0;0;0;t3216
zachodniopomorskie;wa³ecki;28;5,29;0;0;0;t3217
zachodniopomorskie;³obeski;10;2,74;0;0;0;t3218
zachodniopomorskie;Koszalin;25;2,34;0;0;0;t3261
zachodniopomorskie;Szczecin;154;3,84;0;0;0;t3262
zachodniopomorskie;Œwinoujœcie;8;1,96;0;0;0;t3263
